category,business_id
healthmarkets,whole-foods-market-portland-3
healthmarkets,whole-foods-market-portland-4
healthmarkets,whole-foods-market-portland-5
healthmarkets,whole-foods-market-potrero-san-francisco
healthmarkets,whole-foods-market-san-ramon-san-ramon
healthmarkets,whole-foods-market-soma-san-francisco
healthmarkets,whole-foods-market-tigard
healthmarkets,whole-foods-market-tigard-3
healthmarkets,whole-foods-market-vancouver
healthmarkets,whole-foods-market-walnut-creek-walnut-creek
healthmarkets,whole-health-apothecary-albany
healthmarkets,wild-mountain-paleo-market-portland
healthmarkets,williams-natural-foods-richmond
healthmarkets,wing-ming-herbs-portland
healthmarkets,world-ginseng-center-san-francisco
healthmarkets,zen-medica-new-york-2
healthmarkets,zion-organic-valley-stream
homelessshelters,400-mcguinness-shelter-homeless-shelter-new-york
homelessshelters,camba-homeless-shelter-brooklyn
homelessshelters,cityteam-ministries-san-jose-10
homelessshelters,cityteam-portland-2
homelessshelters,cityteam-san-francisco-3
homelessshelters,cityteam-san-jose-san-jose
homelessshelters,hamilton-families-san-francisco-4
homelessshelters,next-door-homeless-shelter-san-francisco
homelessshelters,pacifica-resource-center-pacifica
homelessshelters,peter-young-shelter-brooklyn
homelessshelters,safequest-solano-fairfield
homelessshelters,st-vincent-de-paul-society-santa-rosa
homelessshelters,ugm-of-salem-mens-mission-salem
intlgrocery,a-taste-of-mediterranian-sarejevo-clifton
intlgrocery,aaa-vegi-san-francisco
intlgrocery,african-market-new-york-2
intlgrocery,apna-bazaar-cash-and-carry-jackson-heights
intlgrocery,asian-food-center-beaverton
intlgrocery,australian-products-san-jose
intlgrocery,battambang-oriental-grocery-san-jose-2
intlgrocery,besans-international-market-san-bruno
intlgrocery,bharat-bazar-fremont
intlgrocery,bharat-bazar-sunnyvale
intlgrocery,bharat-bazar-union-city
intlgrocery,boss-supermarket-san-francisco
intlgrocery,c-h-supermarket-queens
intlgrocery,chang-fa-supermarket-portland
intlgrocery,de-rong-incorporated-new-york
intlgrocery,europa-plus-san-francisco
intlgrocery,fubonn-supermarket-portland
intlgrocery,grocery-on-wheels-san-jose
intlgrocery,h-mart-tigard-4
intlgrocery,himalayan-grocery-el-cerrito
intlgrocery,himalayan-vision-new-york
intlgrocery,india-cash-and-carry-fremont-2
intlgrocery,india-connect-beaverton
intlgrocery,key-food-fairview
intlgrocery,komi-food-san-francisco
intlgrocery,la-bergamote-market-new-york
intlgrocery,la-chaparrita-leander
intlgrocery,la-paradita-peru-redwood-city
intlgrocery,lily-market-oriental-food-and-gifts-portland
intlgrocery,lion-market-san-jose-2
intlgrocery,madina-deli-shop-new-york
intlgrocery,marukai-cupertino
intlgrocery,mei-sheng-market-san-francisco
intlgrocery,mingala-international-market-portland
intlgrocery,myanmar-pyi-thar-newark
intlgrocery,myrtle-ave-super-market-bushwick
intlgrocery,new-india-bazar-santa-clara
intlgrocery,nijiya-market-san-francisco
intlgrocery,ohana-polynesian-market-kirby
intlgrocery,oishinbo-harrison
intlgrocery,old-mexico-imports-san-antonio
intlgrocery,oriental-food-value-portland
intlgrocery,philippine-food-store-killeen
intlgrocery,plaza-xochimilco-2-brooklyn
intlgrocery,quezada-market-novato
intlgrocery,richmond-new-may-wah-supermarket-san-francisco
intlgrocery,rose-market-cupertino
intlgrocery,saffron-red-asian-market-san-antonio
intlgrocery,seabra-foods-harrison
intlgrocery,sedgwick-deli-jerome-park
intlgrocery,sparkling-supermarket-flushing
intlgrocery,superone-san-antonio
intlgrocery,tahals-grocery-outlet-hayward
intlgrocery,thai-market-american-canyon
